title,company_name,location,start_date,duration,stipend,ppo,workmode,region,domain,skills,deadline,degree
Influencer Marketing,Subhansh Sewa Trust,Work From Home,Immediately,6,Unpaid,No,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-09-22,BA
Media And Public Relations (PR),Subhansh Sewa Trust,Work From Home,Immediately,6,Unpaid,No,Hybrid,Urban,Content Writing,"PR Strategy, Media Relations, Communication, Writing",2025-09-11,MCom
Law/Legal,Thomas Cook,Mumbai,Immediately,6,3000,Yes,Hybrid,Urban,Legal & Compliance,"Legal Research, Compliance, Drafting, Documentation",2025-11-02,PhD
Human Resources (HR),Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6,10000,Yes,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-09-11,BBA
PHP Laravel Development,Across The Globe (ATG),Work From Home,Immediately,6,2500,No,Remote,Urban,Marketing,"Sales, Communication, Negotiation, Lead Generation",2025-10-25,BCA
Campus Ambassador,Subhansh Sewa Trust,Work From Home,Immediately,6,Performance Based,Yes,Hybrid,Urban,Marketing,"Marketing, Communication, Networking, Leadership",2025-09-16,BCom
Social Work,Subhansh Sewa Trust,Work From Home,Immediately,6,Unpaid,No,Remote,Rural,Research,"Communication, MS Excel, Research",2025-10-06,BBA
Social (Fundraising),Subhansh Sewa Trust,Work From Home,Immediately,6,Unpaid,No,Hybrid,Urban,Operations & Support,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis",2025-09-22,BSc
Human Resources (HR),Paisabazaar,Gurgaon,Immediately,6,20000,Yes,Onsite,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-09-29,MBA
Sales,Prolance,Bangalore,Immediately,6,5000,Yes,Remote,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",2025-10-07,BCom
Sales  Executive,NoBroker Technologies Solutions Private Limited,Bangalore,Immediately,6,12000,No,Remote,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",2025-10-29,BBA
Marketing,HarperCollins Publishers India Private Limited,Gurgaon,Immediately,6,5000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-11-16,MA
Human Resources (HR),Zucol Group Of Companies,Gurgaon,Immediately,6,8000,No,Onsite,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-11-22,MCom
Sales,NoBroker Technologies Solutions Private Limited,Chennai,Immediately,6,12000,Yes,Remote,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",2025-10-29,BCom
Recruitment,Ozzone Group,Work From Home,Immediately,6,4500,No,Hybrid,Urban,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",2025-11-10,MBA
Sales,Reliance Brands Limited,Chandigarh,Immediately,6,14000,Yes,Hybrid,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",2025-11-08,BBA
UX Design,Techolution,Work From Home,Immediately,6,15000,Yes,Remote,Urban,Design,"UI Design, UX Research, Figma, Prototyping",2025-10-29,MBA
HR Consultant,Paracoat Products Limited,Gurgaon,Immediately,6,15000,No,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing, Consulting, Problem Solving",2025-10-26,BCom
Law/Legal,Techolution,Work From Home,Immediately,6,15000,Yes,Remote,Rural,Legal & Compliance,"Legal Research, Compliance, Drafting, Documentation",2025-10-05,MSc
L&D,Godrej And Boyce Manufacturing Company Limited,Mumbai,Immediately,6,4000,Yes,Onsite,Rural,Research,"Communication, MS Excel, Research",2025-10-22,BBA
Human Resources (HR),Trent Hypermarket Private Limited - STAR Bazaar,Mumbai,Immediately,6,7000,No,Remote,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-11-29,MBA
Search Engine Optimization (SEO),CollegeDunia Web Private Limited,Work From Home,Immediately,6,15000,Yes,Hybrid,Urban,Search & Performance Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization",2025-12-03,MBA
Human Resources (HR),International SOS,Mumbai,Immediately,6,15000,No,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-11-17,MBA
Launch Management,Cultfit Healthcare Private Limited,Hyderabad,Immediately,6,25000,Yes,Hybrid,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",2025-10-08,BBA
Marketing,Shree Maruti Courier Service Private Limited,Sachin INA,Immediately,6,7000,No,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-11-15,MA
HR - Talent Acquisition,Niva Bupa Health Insurance,Noida,Immediately,6,10000,Yes,Hybrid,Rural,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",2025-09-10,BA
Campus Ambassador,Across The Globe (ATG),Work From Home,Immediately,6,Performance Based,No,Remote,Urban,Marketing,"Marketing, Communication, Networking, Leadership",2025-10-16,BCom
Customer Support,NoBroker Technologies Solution Private Limited,Bangalore,Immediately,6,12000,No,Remote,Urban,Finance,"BPO, Customer Support, Communication, Call Handling",2025-11-29,MBA
Human Resources (HR),Motilal Oswal Financial Services Limited,Mumbai,Immediately,6,5000,No,Remote,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-10-18,BBA
Sales,Across The Globe (ATG),Work From Home,Immediately,3,2000,No,Onsite,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",2025-09-28,BBA
Marketing,Vedantu Innovations,Tiruchirappalli,Immediately,3,20000,No,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-10-03,BBA
Generative Adversarial Networks,Across The Globe (ATG),Work From Home,Immediately,3,8000,No,Hybrid,Rural,Research,"Communication, MS Excel, Research",2025-09-16,BBA
Node.js Development,Across The Globe (ATG),Work From Home,Immediately,3,2500,Yes,Hybrid,Urban,Data Science,"Node.js, APIs, Databases, Server-side Development",2025-09-30,BCA
Product Management (Technical),Across The Globe (ATG),Work From Home,Immediately,3,2000,Yes,Remote,Urban,Research & Strategy,"PR Strategy, Media Relations, Communication, Writing",2025-09-29,MBA
Web Development (Frontend),Across The Globe (ATG),Work From Home,Immediately,3,2500,Yes,Hybrid,Rural,Web Development,"HTML, CSS, JavaScript, React",2025-12-07,BCA
Sales,NoBroker Technologies Solutions Private Limited,Hyderabad,Immediately,3,15000,No,Remote,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",2025-10-14,BCom
Technical Content Writing,Across The Globe (ATG),Work From Home,Immediately,3,2500,Yes,Remote,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",2025-11-12,MBA
MERN Stack Development,Across The Globe (ATG),Work From Home,Immediately,3,4000,Yes,Onsite,Rural,Marketing,"Sales, Communication, Negotiation, Lead Generation",2025-10-01,BCA
ReactJs Development,Across The Globe (ATG),Work From Home,Immediately,3,2500,No,Remote,Rural,Software Development,"HTML, CSS, JavaScript, React",2025-10-10,MSc
Python Django Development,Across The Globe (ATG),Work From Home,Immediately,3,2500,Yes,Onsite,Rural,Research & Strategy,"Python, APIs, Django/Flask, Data Analysis, Machine Learning",2025-10-13,MTech
Python Automation,Across The Globe (ATG),Work From Home,Immediately,3,2500,No,Hybrid,Rural,Research & Strategy,"Python, APIs, Django/Flask, Data Analysis, Machine Learning",2025-10-19,MSc
HR & Admin,Modenik Lifestyle Private Limited,Bangalore,Immediately,3,8000,Yes,Remote,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-11-10,MBA
Resource Management,Techolution,Hyderabad,Immediately,3,15000,Yes,Remote,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",2025-10-27,BBA
Project Management,IIT Bombay,Work From Home,Immediately,3,1000,No,Hybrid,Urban,Content Writing,"PR Strategy, Media Relations, Communication, Writing",2025-10-25,BBA
Business Development,Ozzone Group,Work From Home,Immediately,3,10000,No,Onsite,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",2025-11-27,BTech
Business Development (Sales),NoBroker Technologies Solutions Private Limited,Ahmedabad,Immediately,3,15000,No,Hybrid,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",2025-11-28,BCA
Sales Promotion,IndiaFirst Life Private Limited,Mumbai,Immediately,3,25000,Yes,Onsite,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication, PR Strategy, Media Relations",2025-11-07,BCom
UI Design,Pepperfry,Mumbai,Immediately,3,20000,No,Onsite,Urban,Design,"UI Design, UX Research, Figma, Prototyping",2025-10-19,BBA
Project Management (Marketing),Across The Globe (ATG),Work From Home,Immediately,3,2500,No,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, PR Strategy, Media Relations",2025-09-13,BBA
Finance & Accounting,MetrixLab,Hyderabad,Immediately,3,18000,Yes,Remote,Urban,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",2025-09-13,MBA
Customer Relationship,NoBroker Technologies Solutions Private Limited,Bangalore,Immediately,3,12000,Yes,Onsite,Rural,Research,"Communication, MS Excel, Research",2025-11-13,MBA
Talent Acquisition,Amara Raja Group,Hyderabad,Immediately,3,15000,No,Onsite,Rural,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",2025-10-13,MBA
Communication & Project Management,Teach For India,Hyderabad,Immediately,3,4000,Yes,Hybrid,Rural,Content Writing,"PR Strategy, Media Relations, Communication, Writing",2025-09-18,MBA
Logistics And Operations,Delhivery,Mumbai,Immediately,3,8000,Yes,Hybrid,Urban,Operations & Support,"Supply Chain Management, Logistics, Inventory Management, Excel",2025-10-20,BTech
Event Management,Times Internet,Noida,Immediately,3,10000,Yes,Onsite,Urban,Operations & Support,"Event Planning, Coordination, Communication, PR",2025-10-05,MBA
Content Writing,LeadSquared,Bangalore,Immediately,3,20000,No,Hybrid,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",2025-10-12,MTech
Environment Education Program (Mumbai),WWF-India,Mumbai,Immediately,3,10000,No,Onsite,Rural,Research & Strategy,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis, PR Strategy, Media Relations",2025-10-19,MTech
Business Development (Sales),Anarock Property Consultant Private Limited,Bangalore,Immediately,3,20000,No,Onsite,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",2025-10-29,MTech
Human Resources (HR),Zee Media Corporation Limited,Noida,Immediately,3,2000,No,Remote,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-09-28,MCom
Finance,CaratLane Trading Private Limited,Chennai,Immediately,3,15000,Yes,Hybrid,Urban,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",2025-12-04,BCom
Customer Service,Ferns N Petals,Gurgaon,Not specified,3,15000,Yes,Remote,Rural,Operations & Support,"BPO, Customer Support, Communication, Call Handling",2025-11-23,MBA
Advertising Sales(Business Development) - Kerala (Malayalam),ShareChat,Work From Home,Immediately,3,15000,No,Hybrid,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",2025-11-25,BSc
Human Resources (HR),Agarwal Packers & Movers Limited,Delhi,Immediately,3,10000,No,Hybrid,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-11-01,MCom
Legal,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Mumbai,Immediately,3,15000,No,Remote,Urban,Legal,"Legal Research, Compliance, Drafting, Documentation",2025-10-31,MSc
Sales,NoBroker Technologies Solutions Private Limited,Vadodara,Immediately,3,12000,No,Hybrid,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",2025-11-18,BBA
Human Resources (HR),MAHANADI SPICES,Bilaspur,Immediately,3,20000,No,Onsite,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-10-12,MCom
Fundraising,Marpu Foundation,Work From Home,Immediately,3,Unpaid,No,Onsite,Rural,Operations & Support,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis",2025-11-26,BTech
Recruitment,Marpu Foundation,Work From Home,Immediately,3,Unpaid,No,Onsite,Urban,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",2025-09-26,BA
Human Resources (HR),Marpu Foundation,Work From Home,Immediately,3,Unpaid,Yes,Onsite,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-11-02,BCom
Talent Acquisition,Marpu Foundation,Work From Home,Immediately,1 Week,Unpaid,Yes,Hybrid,Urban,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",2025-11-07,BBA
"New Client Aquisition, Key Accounts Management",Pepperfry Limited,Panvel,Immediately,1 Week,8000,Yes,Hybrid,Rural,Design,"UI Design, UX Research, Figma, Prototyping",2025-10-13,BA
Talent Acquisition,Scaler Academy,Work From Home,Immediately,1 Week,5000,No,Remote,Rural,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",2025-11-29,MA
Omni Sport Leadership - Hiking/Trekking,Decathlon,Mumbai,Immediately,1 Week,15000,Yes,Hybrid,Rural,Research,"Communication, MS Excel, Research",2025-11-05,BBA
Business Development Management,Across The Globe (ATG),Work From Home,Immediately,1 Week,1000,Yes,Onsite,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",2025-11-06,MCA
Data Entry With Marketing,Across The Globe (ATG),Work From Home,Immediately,1 Week,1000,No,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-10-02,BA
Social Work,Marpu Foundation,Work From Home,Immediately,1 Week,Unpaid,No,Remote,Rural,Research,"Communication, MS Excel, Research",2025-10-13,BCom
Human Resources (HR),Jiva Ayurveda,Faridabad,Immediately,1 Week,5000,Yes,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-11-02,BBA
Campus Ambassador,IIT Roorkee,Work From Home,Immediately,1 Week,Performance Based,No,Hybrid,Urban,Marketing,"Marketing, Communication, Networking, Leadership",2025-09-13,MBA
Content Writing,Xiaomi Technology India Private Limited,Bangalore,Immediately,1 Week,20000,No,Onsite,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",2025-11-29,MSc
Operations,NoBroker Technologies Solutions Private Limited,Noida,Immediately,1 Week,15000,Yes,Onsite,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",2025-11-23,MBA
Resource Management,Techolution,Hyderabad,Immediately,1 Week,15000,No,Remote,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",2025-10-09,BCom
Human Resources (HR),Zucol Group Of Companies,Jaipur,Immediately,1 Week,7000,No,Remote,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-10-19,MBA
HR Operations,Freecharge Payments Technology Private Limited,Gurgaon,Immediately,1 Week,15000,Yes,Remote,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-09-23,BCom
Guest Relation Operations,Apollo Hospitals,Navi Mumbai,Immediately,1 Week,5000,Yes,Hybrid,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",2025-12-06,BCom
Business Development (Sales),Decathlon Sport India,Ahmedabad,Immediately,1 Week,10000,Yes,Remote,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",2025-12-07,BSc
Event Coordination,Aam Aadmi Party,Delhi,Immediately,1 Week,Unpaid,Yes,Remote,Rural,Data Scientist,"Event Planning, Coordination, Communication, PR",2025-10-01,MBA
Graphic Design,Educate Girls,Mumbai,Immediately,1 Week,12000,Yes,Hybrid,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-10-24,BBA
Human Resources (HR),Subhansh Sewa Trust,Work From Home,Immediately,1 Week,Unpaid,Yes,Onsite,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-09-23,MBA
Induction Representation,Subhansh Sewa Trust,Work From Home,Immediately,1 Week,Unpaid,No,Onsite,Rural,Content Writing,"PR Strategy, Media Relations, Communication, Writing",2025-09-24,MBA
Business Development (Sales),Urban Company,Bhubaneswar,Immediately,1 Week,20000,No,Remote,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",2025-09-30,MSc
Human Resources (HR),Community Action Through Motivation Program,Naya Raipur,Immediately,1 Week,3000,No,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-11-25,MBA
Field Sales,LIC,Ahmedabad,Immediately,1 Week,5000,No,Onsite,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",2025-09-15,MCom
Business Development (Sales),Decathlon Sports India,Ahmedabad,Immediately,1 Week,5000,Yes,Hybrid,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",2025-11-25,BCA
City Management,Urban Company,Mumbai,Immediately,1 Week,20000,No,Hybrid,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",2025-09-12,MCom
Social Media Management,Life Fitness,Work From Home,Immediately,1 Week,1000,No,Hybrid,Urban,Social Media & Community Management,"Social Media Strategy, Content Creation, Analytics, Community Management",2025-09-24,BBA
Human Resources (HR),Paradise Food Court Private Limited,Hyderabad,Immediately,1 Week,5000,No,Hybrid,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-11-18,BCom
Video Editor,Subhansh Sewa Trust,Work From Home,Immediately,1 Week,Unpaid,Yes,Remote,Rural,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",2025-11-18,MA
Human Resources (HR),APAC Financial Services Private Limited,Mumbai,Immediately,1 Week,8000,Yes,Onsite,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-09-23,BCom
Social Media Marketing,Sportskeeda,Work From Home,Immediately,1 Week,10000,No,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",2025-10-20,MBA
Omni Sports Leader,Decathlon,Thane,Immediately,1 Week,10000,Yes,Remote,Rural,Research,"Communication, MS Excel, Research",2025-11-01,BCom
Graphic Design,CIIE Initiatives (IIM Ahmedabad),Ahmedabad,Immediately,1 Week,10000,Yes,Remote,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-11-06,BBA
Business Development (Sales),Urban Company,Bangalore,Immediately,1 Week,18000,Yes,Onsite,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",2025-10-31,MSc
Graphic Design,Saregama India Limited,Chennai,Immediately,1 Week,5000,No,Onsite,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-10-12,MCom
Android App Development,Star Health & Allied Insurance Company Limited,Vrindavan,Immediately,1 Week,5000,Yes,Hybrid,Urban,App Development,"Mobile App Development, Java/Kotlin, Flutter/React Native, APIs",2025-12-03,MSc
Talent Acquisition,Techolution,Work From Home,Immediately,1 Week,15000,No,Hybrid,Rural,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",2025-09-10,BBA
Telecalling,Air India SATS Airport Services Private Limited,Delhi,Immediately,1 Week,7000,No,Onsite,Urban,Outreach & Client Relations,"Communication, MS Excel, Research",2025-11-16,BCom
Business Development (Sales),Urban Company,Mumbai,Immediately,1 Week,20000,Yes,Hybrid,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",2025-11-08,MCA
Operations,PcsInfinity,Delhi,Immediately,3,10000,No,Onsite,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",2025-09-30,MCom
Company Secretary (CS),Justdial,Mumbai,Immediately,1 Week,12000,No,Onsite,Rural,Research,"Communication, MS Excel, Research",2025-11-06,BCom
Human Resources (HR),Media.net,Bangalore,Immediately,1 Week,15000,Yes,Hybrid,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-09-28,BBA
Content Writing,OfBusiness,Gurgaon,Immediately,4,20000,No,Hybrid,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",2025-11-24,MSc
Talent Acquisition,Ozone Overseas Private Limited,Gurgaon,Immediately,4,15000,No,Hybrid,Urban,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",2025-10-17,BA
Webinar Operations & Strategy,Simplilearn Solutions Private Limited,Bangalore,Immediately,4,15000,No,Remote,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",2025-10-24,BBA
Business Development (Sales),Pioneer E Solutions,Gurgaon,Immediately,4,15000,No,Onsite,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",2025-11-02,BTech
Social Media Manager,Subhansh Sewa Trust,Work From Home,Immediately,4,Unpaid,No,Remote,Urban,Social Media & Community Management,"Social Media Strategy, Content Creation, Analytics, Community Management",2025-12-01,MA
Journalism,Press Trust Of India,Delhi,Immediately,4,20000,Yes,Onsite,Rural,Research,"Communication, MS Excel, Research",2025-11-12,BCom
Business Operations,Pristyn Care,Gurgaon,Immediately,4,8000,Yes,Hybrid,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",2025-09-22,MCom
Online Reputation Management,Motilal Oswal Financial Services Limited,Mumbai,Immediately,4,5000,Yes,Remote,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",2025-09-22,MCom
Strategy and Research,Vedantu,Bangalore,Immediately,4,25000,Yes,Hybrid,Urban,Research & Strategy,"Research, Data Analysis, Report Writing, Critical Thinking",2025-09-17,BCom
Human Resources (HR),Subhansh Sewa Trust,Work From Home,Immediately,4,Unpaid,No,Remote,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-11-15,BBA
HR,AU Small Finance Bank,Mumbai,Immediately,4,2000,Yes,Remote,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-10-18,BCom
Business Development,CollegeDunia Web Private Limited,Gurgaon,Immediately,4,10000,Yes,Onsite,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",2025-10-04,MCA
Web Maintenance,Tata Motors,Mumbai,Immediately,4,8000,Yes,Remote,Urban,Research & Strategy,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis",2025-10-19,MTech
User Research,Leverage Edu,Noida,Immediately,4,10000,No,Remote,Urban,Research & Strategy,"Research, Data Analysis, Report Writing, Critical Thinking",2025-11-05,BBA
Nutraceuticals-Project,Akums Drugs & Pharmaceuticals Limited,Delhi,Immediately,4,12000,Yes,Hybrid,Rural,Content Writing,"PR Strategy, Media Relations, Communication, Writing",2025-11-22,BBA
Finance & Accounting,Ieng Groups,Bangalore,Immediately,4,5000,Yes,Hybrid,Urban,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",2025-11-02,MBA
Sales Administration,Fresenius Kabi,Pune,Immediately,4,20000,No,Onsite,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",2025-09-21,BBA
Marketing And Communications,Zee Entertainment Enterprises Limited,Mumbai,Immediately,4,5000,No,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-11-22,MBA
Business Development (Sales),Urban Company,Patna,Immediately,4,20000,Yes,Hybrid,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",2025-11-03,BSc
Human Resources (HR),SILA Group,Bangalore,Immediately,4,8000,Yes,Onsite,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-11-11,BBA
Program Operations,Bharti Foundation,Gurgaon,Immediately,4,17500,No,Remote,Urban,Operations & Support,"PR Strategy, Media Relations, Communication, Writing",2025-10-05,MCom
Volunteering,International Human Rights Protection Commission,Andhra Pradesh,Immediately,4,Unpaid,No,Hybrid,Rural,Research,"Communication, MS Excel, Research",2025-11-04,BBA
