title,company_name,location,start_date,duration,stipend,ppo,workmode,region,domain,skills,deadline,degree,RIndex,No. of Positions,regional_language
Customer Success,ClearTax,Bangalore,Immediately,6,20000,Yes,Remote,Urban,Research,"Communication, MS Excel, Research",22-11-25,MBA,0,24,Kannada
Instagram/TikTok Reel Creation,Across The Globe (ATG),Work From Home,Immediately,6,1500,Yes,Hybrid,Urban,Social Media & Community Management,"Social Media Strategy, Content Creation, Analytics, Community Management",28-10-25,BBA,1.1,4,Kannada
Corporate Sales,Across The Globe (ATG),Work From Home,Immediately,6,2000,Yes,Onsite,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",08-11-25,MCom,1.1,3,Telugu
Affiliate Marketing,Across The Globe (ATG),Work From Home,Immediately,6,2000,No,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",26-11-25,MBA,0,20,Kannada
Product Management,Saregama India Limited,Mumbai,Immediately,6,5000,Yes,Onsite,Rural,Research & Strategy,"PR Strategy, Media Relations, Communication, Writing",03-12-25,BBA,0.5,1,Marathi
Influencer Marketing,Subhansh Sewa Trust,Work From Home,Immediately,6,Unpaid,No,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",22-09-25,BA,1.3,4,Bengali
Media And Public Relations (PR),Subhansh Sewa Trust,Work From Home,Immediately,6,Unpaid,No,Hybrid,Urban,Content Writing,"PR Strategy, Media Relations, Communication, Writing",11-09-25,MCom,1.1,27,Punjabi
Law/Legal,Thomas Cook,Mumbai,Immediately,6,3000,Yes,Hybrid,Urban,Legal & Compliance,"Legal Research, Compliance, Drafting, Documentation",02-11-25,PhD,1.1,25,Marathi
Human Resources (HR),Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6,10000,Yes,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",11-09-25,BBA,1.1,8,Hindi
PHP Laravel Development,Across The Globe (ATG),Work From Home,Immediately,6,2500,No,Remote,Urban,Marketing,"Sales, Communication, Negotiation, Lead Generation",25-10-25,BCA,0.8,10,Malayalam
Campus Ambassador,Subhansh Sewa Trust,Work From Home,Immediately,6,Performance Based,Yes,Hybrid,Urban,Marketing,"Marketing, Communication, Networking, Leadership",16-09-25,BCom,0.3,10,Gujarati
Social Work,Subhansh Sewa Trust,Work From Home,Immediately,6,Unpaid,No,Remote,Rural,Research,"Communication, MS Excel, Research",06-10-25,BBA,1.3,3,Malayalam
Social (Fundraising),Subhansh Sewa Trust,Work From Home,Immediately,6,Unpaid,No,Hybrid,Urban,Operations & Support,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis",22-09-25,BSc,0.8,2,Malayalam
Human Resources (HR),Paisabazaar,Gurgaon,Immediately,6,20000,Yes,Onsite,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",29-09-25,MBA,0.3,24,Hindi
Sales,Prolance,Bangalore,Immediately,6,5000,Yes,Remote,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",07-10-25,BCom,1.3,18,Kannada
Sales  Executive,NoBroker Technologies Solutions Private Limited,Bangalore,Immediately,6,12000,No,Remote,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",29-10-25,BBA,0.8,3,Kannada
Marketing,HarperCollins Publishers India Private Limited,Gurgaon,Immediately,6,5000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",16-11-25,MA,0.5,6,Hindi
Human Resources (HR),Zucol Group Of Companies,Gurgaon,Immediately,6,8000,No,Onsite,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",22-11-25,MCom,0.2,20,Hindi
Sales,NoBroker Technologies Solutions Private Limited,Chennai,Immediately,6,12000,Yes,Remote,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",29-10-25,BCom,0,7,Tamil
Recruitment,Ozzone Group,Work From Home,Immediately,6,4500,No,Hybrid,Urban,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",10-11-25,MBA,1.1,8,Kannada
Sales,Reliance Brands Limited,Chandigarh,Immediately,6,14000,Yes,Hybrid,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",08-11-25,BBA,0,26,Punjabi
UX Design,Techolution,Work From Home,Immediately,6,15000,Yes,Remote,Urban,Design,"UI Design, UX Research, Figma, Prototyping",29-10-25,MBA,1.1,13,Kannada
HR Consultant,Paracoat Products Limited,Gurgaon,Immediately,6,15000,No,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing, Consulting, Problem Solving",26-10-25,BCom,0,20,Hindi
Law/Legal,Techolution,Work From Home,Immediately,6,15000,Yes,Remote,Rural,Legal & Compliance,"Legal Research, Compliance, Drafting, Documentation",05-10-25,MSc,1.3,28,Punjabi
L&D,Godrej And Boyce Manufacturing Company Limited,Mumbai,Immediately,6,4000,Yes,Onsite,Rural,Research,"Communication, MS Excel, Research",22-10-25,BBA,1,14,Marathi
Human Resources (HR),Trent Hypermarket Private Limited - STAR Bazaar,Mumbai,Immediately,6,7000,No,Remote,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",29-11-25,MBA,0.3,15,Marathi
Search Engine Optimization (SEO),CollegeDunia Web Private Limited,Work From Home,Immediately,6,15000,Yes,Hybrid,Urban,Search & Performance Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization",03-12-25,MBA,0,15,Punjabi
Human Resources (HR),International SOS,Mumbai,Immediately,6,15000,No,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",17-11-25,MBA,0.3,26,Marathi
Launch Management,Cultfit Healthcare Private Limited,Hyderabad,Immediately,6,25000,Yes,Hybrid,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",08-10-25,BBA,1.3,12,Telugu
Marketing,Shree Maruti Courier Service Private Limited,Sachin INA,Immediately,6,7000,No,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",15-11-25,MA,0.3,14,Hindi
HR - Talent Acquisition,Niva Bupa Health Insurance,Noida,Immediately,6,10000,Yes,Hybrid,Rural,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",10-09-25,BA,1.3,26,Hindi
Campus Ambassador,Across The Globe (ATG),Work From Home,Immediately,6,Performance Based,No,Remote,Urban,Marketing,"Marketing, Communication, Networking, Leadership",16-10-25,BCom,0.8,11,Marathi
Customer Support,NoBroker Technologies Solution Private Limited,Bangalore,Immediately,6,12000,No,Remote,Urban,Finance,"BPO, Customer Support, Communication, Call Handling",29-11-25,MBA,0.8,6,Kannada
Human Resources (HR),Motilal Oswal Financial Services Limited,Mumbai,Immediately,6,5000,No,Remote,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",18-10-25,BBA,1.1,23,Marathi
Sales,Across The Globe (ATG),Work From Home,Immediately,3,2000,No,Onsite,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",28-09-25,BBA,0.5,16,Gujarati
Marketing,Vedantu Innovations,Tiruchirappalli,Immediately,3,20000,No,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",03-10-25,BBA,0.3,5,Hindi
Generative Adversarial Networks,Across The Globe (ATG),Work From Home,Immediately,3,8000,No,Hybrid,Rural,Research,"Communication, MS Excel, Research",16-09-25,BBA,0.2,20,Tamil
Node.js Development,Across The Globe (ATG),Work From Home,Immediately,3,2500,Yes,Hybrid,Urban,Data Science,"Node.js, APIs, Databases, Server-side Development",30-09-25,BCA,0.3,4,Gujarati
Product Management (Technical),Across The Globe (ATG),Work From Home,Immediately,3,2000,Yes,Remote,Urban,Research & Strategy,"PR Strategy, Media Relations, Communication, Writing",29-09-25,MBA,0,13,Tamil
Web Development (Frontend),Across The Globe (ATG),Work From Home,Immediately,3,2500,Yes,Hybrid,Rural,Web Development,"HTML, CSS, JavaScript, React",07-12-25,BCA,1.3,21,Marathi
Sales,NoBroker Technologies Solutions Private Limited,Hyderabad,Immediately,3,15000,No,Remote,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",14-10-25,BCom,0.2,7,Telugu
Technical Content Writing,Across The Globe (ATG),Work From Home,Immediately,3,2500,Yes,Remote,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",12-11-25,MBA,0,14,Malayalam
MERN Stack Development,Across The Globe (ATG),Work From Home,Immediately,3,4000,Yes,Onsite,Rural,Marketing,"Sales, Communication, Negotiation, Lead Generation",01-10-25,BCA,1.3,25,Hindi
ReactJs Development,Across The Globe (ATG),Work From Home,Immediately,3,2500,No,Remote,Rural,Software Development,"HTML, CSS, JavaScript, React",10-10-25,MSc,0.5,18,Hindi
Python Django Development,Across The Globe (ATG),Work From Home,Immediately,3,2500,Yes,Onsite,Rural,Research & Strategy,"Python, APIs, Django/Flask, Data Analysis, Machine Learning",13-10-25,MTech,1.3,13,Kannada
Python Automation,Across The Globe (ATG),Work From Home,Immediately,3,2500,No,Hybrid,Rural,Research & Strategy,"Python, APIs, Django/Flask, Data Analysis, Machine Learning",19-10-25,MSc,0.2,3,Kannada
HR & Admin,Modenik Lifestyle Private Limited,Bangalore,Immediately,3,8000,Yes,Remote,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",10-11-25,MBA,0.5,24,Kannada
Resource Management,Techolution,Hyderabad,Immediately,3,15000,Yes,Remote,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",27-10-25,BBA,0.8,13,Telugu
Project Management,IIT Bombay,Work From Home,Immediately,3,1000,No,Hybrid,Urban,Content Writing,"PR Strategy, Media Relations, Communication, Writing",25-10-25,BBA,0,11,Kannada
Business Development,Ozzone Group,Work From Home,Immediately,3,10000,No,Onsite,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",27-11-25,BTech,1.1,4,Gujarati
Business Development (Sales),NoBroker Technologies Solutions Private Limited,Ahmedabad,Immediately,3,15000,No,Hybrid,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",28-11-25,BCA,1.1,5,Gujarati
Sales Promotion,IndiaFirst Life Private Limited,Mumbai,Immediately,3,25000,Yes,Onsite,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication, PR Strategy, Media Relations",07-11-25,BCom,0.5,12,Marathi
UI Design,Pepperfry,Mumbai,Immediately,3,20000,No,Onsite,Urban,Design,"UI Design, UX Research, Figma, Prototyping",19-10-25,BBA,0,9,Marathi
Project Management (Marketing),Across The Globe (ATG),Work From Home,Immediately,3,2500,No,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, PR Strategy, Media Relations",13-09-25,BBA,1.3,21,Tamil
Finance & Accounting,MetrixLab,Hyderabad,Immediately,3,18000,Yes,Remote,Urban,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",13-09-25,MBA,0,2,Telugu
Customer Relationship,NoBroker Technologies Solutions Private Limited,Bangalore,Immediately,3,12000,Yes,Onsite,Rural,Research,"Communication, MS Excel, Research",13-11-25,MBA,0.2,17,Kannada
Talent Acquisition,Amara Raja Group,Hyderabad,Immediately,3,15000,No,Onsite,Rural,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",13-10-25,MBA,1.3,3,Telugu
Communication & Project Management,Teach For India,Hyderabad,Immediately,3,4000,Yes,Hybrid,Rural,Content Writing,"PR Strategy, Media Relations, Communication, Writing",18-09-25,MBA,0.2,16,Telugu
Logistics And Operations,Delhivery,Mumbai,Immediately,3,8000,Yes,Hybrid,Urban,Operations & Support,"Supply Chain Management, Logistics, Inventory Management, Excel",20-10-25,BTech,0,23,Marathi
Event Management,Times Internet,Noida,Immediately,3,10000,Yes,Onsite,Urban,Operations & Support,"Event Planning, Coordination, Communication, PR",05-10-25,MBA,0,13,Hindi
Content Writing,LeadSquared,Bangalore,Immediately,3,20000,No,Hybrid,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",12-10-25,MTech,0,29,Kannada
Environment Education Program (Mumbai),WWF-India,Mumbai,Immediately,3,10000,No,Onsite,Rural,Research & Strategy,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis, PR Strategy, Media Relations",19-10-25,MTech,1,24,Marathi
Business Development (Sales),Anarock Property Consultant Private Limited,Bangalore,Immediately,3,20000,No,Onsite,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",29-10-25,MTech,0.8,28,Kannada
Human Resources (HR),Zee Media Corporation Limited,Noida,Immediately,3,2000,No,Remote,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",28-09-25,MCom,0.3,24,Hindi
Finance,CaratLane Trading Private Limited,Chennai,Immediately,3,15000,Yes,Hybrid,Urban,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",04-12-25,BCom,0,23,Tamil
Customer Service,Ferns N Petals,Gurgaon,Not specified,3,15000,Yes,Remote,Rural,Operations & Support,"BPO, Customer Support, Communication, Call Handling",23-11-25,MBA,0.2,17,Hindi
Advertising Sales(Business Development) - Kerala (Malayalam),ShareChat,Work From Home,Immediately,3,15000,No,Hybrid,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",25-11-25,BSc,0.5,17,Telugu
Human Resources (HR),Agarwal Packers & Movers Limited,Delhi,Immediately,3,10000,No,Hybrid,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",01-11-25,MCom,1,12,Hindi
Legal,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Mumbai,Immediately,3,15000,No,Remote,Urban,Legal,"Legal Research, Compliance, Drafting, Documentation",31-10-25,MSc,0.8,1,Marathi
Sales,NoBroker Technologies Solutions Private Limited,Vadodara,Immediately,3,12000,No,Hybrid,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",18-11-25,BBA,0.3,9,Hindi
Human Resources (HR),MAHANADI SPICES,Bilaspur,Immediately,3,20000,No,Onsite,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",12-10-25,MCom,0.2,23,Hindi
Fundraising,Marpu Foundation,Work From Home,Immediately,3,Unpaid,No,Onsite,Rural,Operations & Support,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis",26-11-25,BTech,0.2,27,Bengali
Recruitment,Marpu Foundation,Work From Home,Immediately,3,Unpaid,No,Onsite,Urban,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",26-09-25,BA,0.8,20,Telugu
Human Resources (HR),Marpu Foundation,Work From Home,Immediately,3,Unpaid,Yes,Onsite,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",02-11-25,BCom,1,28,Malayalam
Talent Acquisition,Marpu Foundation,Work From Home,Immediately,1 Week,Unpaid,Yes,Hybrid,Urban,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",07-11-25,BBA,0.8,3,Telugu
"New Client Aquisition, Key Accounts Management",Pepperfry Limited,Panvel,Immediately,1 Week,8000,Yes,Hybrid,Rural,Design,"UI Design, UX Research, Figma, Prototyping",13-10-25,BA,1.3,28,Hindi
Talent Acquisition,Scaler Academy,Work From Home,Immediately,1 Week,5000,No,Remote,Rural,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",29-11-25,MA,0.5,22,Marathi
Omni Sport Leadership - Hiking/Trekking,Decathlon,Mumbai,Immediately,1 Week,15000,Yes,Hybrid,Rural,Research,"Communication, MS Excel, Research",05-11-25,BBA,1,22,Marathi
Business Development Management,Across The Globe (ATG),Work From Home,Immediately,1 Week,1000,Yes,Onsite,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",06-11-25,MCA,0,17,Tamil
Data Entry With Marketing,Across The Globe (ATG),Work From Home,Immediately,1 Week,1000,No,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",02-10-25,BA,1.3,10,Marathi
Social Work,Marpu Foundation,Work From Home,Immediately,1 Week,Unpaid,No,Remote,Rural,Research,"Communication, MS Excel, Research",13-10-25,BCom,0.5,11,Tamil
Human Resources (HR),Jiva Ayurveda,Faridabad,Immediately,1 Week,5000,Yes,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",02-11-25,BBA,1.1,4,Hindi
Campus Ambassador,IIT Roorkee,Work From Home,Immediately,1 Week,Performance Based,No,Hybrid,Urban,Marketing,"Marketing, Communication, Networking, Leadership",13-09-25,MBA,0.8,28,Tamil
Content Writing,Xiaomi Technology India Private Limited,Bangalore,Immediately,1 Week,20000,No,Onsite,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",29-11-25,MSc,1.1,12,Kannada
Operations,NoBroker Technologies Solutions Private Limited,Noida,Immediately,1 Week,15000,Yes,Onsite,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",23-11-25,MBA,0.2,2,Hindi
Resource Management,Techolution,Hyderabad,Immediately,1 Week,15000,No,Remote,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",09-10-25,BCom,0.5,1,Telugu
Human Resources (HR),Zucol Group Of Companies,Jaipur,Immediately,1 Week,7000,No,Remote,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",19-10-25,MBA,1.3,21,Hindi
HR Operations,Freecharge Payments Technology Private Limited,Gurgaon,Immediately,1 Week,15000,Yes,Remote,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",23-09-25,BCom,1.3,19,Hindi
Guest Relation Operations,Apollo Hospitals,Navi Mumbai,Immediately,1 Week,5000,Yes,Hybrid,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",06-12-25,BCom,1,17,Hindi
Business Development (Sales),Decathlon Sport India,Ahmedabad,Immediately,1 Week,10000,Yes,Remote,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",07-12-25,BSc,0.3,10,Gujarati
Event Coordination,Aam Aadmi Party,Delhi,Immediately,1 Week,Unpaid,Yes,Remote,Rural,Data Scientist,"Event Planning, Coordination, Communication, PR",01-10-25,MBA,0.5,21,Hindi
Graphic Design,Educate Girls,Mumbai,Immediately,1 Week,12000,Yes,Hybrid,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",24-10-25,BBA,0,14,Marathi
Human Resources (HR),Subhansh Sewa Trust,Work From Home,Immediately,1 Week,Unpaid,Yes,Onsite,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",23-09-25,MBA,1.3,7,Malayalam
Induction Representation,Subhansh Sewa Trust,Work From Home,Immediately,1 Week,Unpaid,No,Onsite,Rural,Content Writing,"PR Strategy, Media Relations, Communication, Writing",24-09-25,MBA,1.3,16,Marathi
Business Development (Sales),Urban Company,Bhubaneswar,Immediately,1 Week,20000,No,Remote,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",30-09-25,MSc,0.8,1,Hindi
Human Resources (HR),Community Action Through Motivation Program,Naya Raipur,Immediately,1 Week,3000,No,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",25-11-25,MBA,1.1,6,Hindi
Field Sales,LIC,Ahmedabad,Immediately,1 Week,5000,No,Onsite,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",15-09-25,MCom,1.1,6,Gujarati
Business Development (Sales),Decathlon Sports India,Ahmedabad,Immediately,1 Week,5000,Yes,Hybrid,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",25-11-25,BCA,1.3,18,Gujarati
City Management,Urban Company,Mumbai,Immediately,1 Week,20000,No,Hybrid,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",12-09-25,MCom,0.3,8,Marathi
Social Media Management,Life Fitness,Work From Home,Immediately,1 Week,1000,No,Hybrid,Urban,Social Media & Community Management,"Social Media Strategy, Content Creation, Analytics, Community Management",24-09-25,BBA,0.8,26,Punjabi
Human Resources (HR),Paradise Food Court Private Limited,Hyderabad,Immediately,1 Week,5000,No,Hybrid,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",18-11-25,BCom,1.3,8,Telugu
Video Editor,Subhansh Sewa Trust,Work From Home,Immediately,1 Week,Unpaid,Yes,Remote,Rural,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",18-11-25,MA,1,19,Kannada
Human Resources (HR),APAC Financial Services Private Limited,Mumbai,Immediately,1 Week,8000,Yes,Onsite,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",23-09-25,BCom,1,3,Marathi
Social Media Marketing,Sportskeeda,Work From Home,Immediately,1 Week,10000,No,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",20-10-25,MBA,1.1,26,Marathi
Omni Sports Leader,Decathlon,Thane,Immediately,1 Week,10000,Yes,Remote,Rural,Research,"Communication, MS Excel, Research",01-11-25,BCom,1.3,26,Hindi
Graphic Design,CIIE Initiatives (IIM Ahmedabad),Ahmedabad,Immediately,1 Week,10000,Yes,Remote,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",06-11-25,BBA,1.3,20,Gujarati
Business Development (Sales),Urban Company,Bangalore,Immediately,1 Week,18000,Yes,Onsite,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",31-10-25,MSc,0,27,Kannada
Graphic Design,Saregama India Limited,Chennai,Immediately,1 Week,5000,No,Onsite,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",12-10-25,MCom,0.3,26,Tamil
Android App Development,Star Health & Allied Insurance Company Limited,Vrindavan,Immediately,1 Week,5000,Yes,Hybrid,Urban,App Development,"Mobile App Development, Java/Kotlin, Flutter/React Native, APIs",03-12-25,MSc,0,1,Hindi
Talent Acquisition,Techolution,Work From Home,Immediately,1 Week,15000,No,Hybrid,Rural,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",10-09-25,BBA,1.3,2,Marathi
Telecalling,Air India SATS Airport Services Private Limited,Delhi,Immediately,1 Week,7000,No,Onsite,Urban,Outreach & Client Relations,"Communication, MS Excel, Research",16-11-25,BCom,0.3,29,Hindi
Business Development (Sales),Urban Company,Mumbai,Immediately,1 Week,20000,Yes,Hybrid,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",08-11-25,MCA,1,19,Marathi
Operations,PcsInfinity,Delhi,Immediately,3,10000,No,Onsite,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",30-09-25,MCom,1,19,Hindi
Company Secretary (CS),Justdial,Mumbai,Immediately,1 Week,12000,No,Onsite,Rural,Research,"Communication, MS Excel, Research",06-11-25,BCom,1.3,14,Marathi
Human Resources (HR),Media.net,Bangalore,Immediately,1 Week,15000,Yes,Hybrid,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",28-09-25,BBA,1,9,Kannada
Content Writing,OfBusiness,Gurgaon,Immediately,4,20000,No,Hybrid,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",24-11-25,MSc,0.8,14,Hindi
Talent Acquisition,Ozone Overseas Private Limited,Gurgaon,Immediately,4,15000,No,Hybrid,Urban,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",17-10-25,BA,0,4,Hindi
Webinar Operations & Strategy,Simplilearn Solutions Private Limited,Bangalore,Immediately,4,15000,No,Remote,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",24-10-25,BBA,0,19,Kannada
Business Development (Sales),Pioneer E Solutions,Gurgaon,Immediately,4,15000,No,Onsite,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",02-11-25,BTech,0.5,23,Hindi
Social Media Manager,Subhansh Sewa Trust,Work From Home,Immediately,4,Unpaid,No,Remote,Urban,Social Media & Community Management,"Social Media Strategy, Content Creation, Analytics, Community Management",01-12-25,MA,0.3,14,Kannada
Journalism,Press Trust Of India,Delhi,Immediately,4,20000,Yes,Onsite,Rural,Research,"Communication, MS Excel, Research",12-11-25,BCom,1,27,Hindi
